Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
Portogruaro 412 2001 24549 11580800 9743030 1837770 471.7422298 396.880932 74.86129781 0.158691109
Pramaggiore 413 2001 3995 1856620 1548950 307670 464.7359199 387.7221527 77.01376721 0.165715117
Quartod'Altino 414 2001 7255 4858990 3592780 1266210 669.7436251 495.2143349 174.5292901 0.260591193
Salzano 415 2001 11586 3546890 1963570 1583320 306.1358536 169.4778181 136.6580356 0.446396702
SanDonàdiPiave 416 2001 35424 19564800 13730900 5833900 552.303523 387.6157407 164.6877823 0.298183472
SanMichelealTagliamento 417 2001 11430 20019000 15014700 5004300 1751.44357 1313.622047 437.8215223 0.249977521
SantaMariadiSala 418 2001 13698 6507310 4558890 1948420 475.0554826 332.8142795 142.2412031 0.299420191
SantoStinodiLivenza 419 2001 11743 5747270 4714710 1032560 489.4209316 401.4911011 87.92983054 0.179660952
Scorzè 420 2001 17343 7965520 4475670 3489850 459.2930865 258.0678083 201.2252782 0.438119545
Spinea 421 2001 24521 11782000 6685920 5096080 480.4861139 272.6609845 207.8251295 0.432530979
Stra 422 2001 7039 2299720 977464 1322256 326.7111806 138.8640432 187.8471374 0.574963909
TeglioVeneto 423 2001 1988 978892 792551 186341 492.4004024 398.667505 93.73289738 0.1903591
TorrediMosto 424 2001 4304 2817420 2126740 690680 654.6050186 494.1310409 160.4739777 0.245146269
Venezia 425 2001 282807 217074000 172110000 44964000 767.5694025 608.5775812 158.9918213 0.207136737
Vigonovo 426 2001 8088 3050300 1494510 1555790 377.1389713 184.7811573 192.357814 0.510044914
Cavallino-Treporti 581 2001 NA NA NA NA 767.5694025 608.5775812 158.9918213 0.207136737
AnnoneVeneto 384 2002 3555 1605350 1309530 295820 451.5752461 368.3628692 83.21237693 0.184271343
CampagnaLupia 385 2002 6401 2187050 883800 1303250 341.6731761 138.0721762 203.6009998 0.595894012
CampolongoMaggiore 386 2002 9229 3276600 1370520 1906080 355.033048 148.5014628 206.5315852 0.581724959
Camponogara 387 2002 11230 4074630 1812290 2262340 362.8343722 161.3793411 201.4550312 0.555225873
Caorle 388 2002 11511 14390300 11757300 2633000 1250.134654 1021.396925 228.7377291 0.182970473
Cavarzere 389 2002 15464 6099870 2384090 3715780 394.4561562 154.1703311 240.2858251 0.609157244
Ceggia 390 2002 5170 1336070 391150 944920 258.4274662 75.65764023 182.7698259 0.707238393
Chioggia 391 2002 51691 34169900 24593600 9576300 661.041574 475.7810837 185.2604902 0.280255429
CintoCaomaggiore 392 2002 3171 1212580 936250 276330 382.3967203 295.2538631 87.14285714 0.227885995
Cona 393 2002 3264 1243340 476690 766650 380.9252451 146.0447304 234.8805147 0.616605273
ConcordiaSagittaria 394 2002 10576 5138660 4094290 1044370 485.8793495 387.130295 98.74905446 0.203237809
Dolo 395 2002 14406 7687110 4306270 3380840 533.604748 298.921977 234.6827711 0.439806377
Eraclea 396 2002 12563 7006240 5403700 1602540 557.6884502 430.1281541 127.5602961 0.228730389
Fiessod'Artico 397 2002 5990 2397520 1052180 1345340 400.2537563 175.6560935 224.5976628 0.561138176
FossaltadiPiave 398 2002 4108 1439700 520180 919520 350.4625122 126.6260954 223.8364167 0.638688616
FossaltadiPortogruaro 399 2002 5849 2685180 1726330 958850 459.083604 295.1495982 163.9340058 0.357089655
Fossò 400 2002 5971 2636490 1060400 1576090 441.5491542 177.5916932 263.9574611 0.597798588
Gruaro 401 2002 2687 1287070 955222 331848 478.9988835 355.4975809 123.5013026 0.25783213
