Comune Provincia Codice Latitudine Longitudine PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
Pianezze VI 175 45.74166667 11.6275 0 0 0 0 0 0 0 6 6 40 10 0 0 0
PioveneRocchette VI 176 45.76166667 11.43055556 37 37 37 37 37 37 37 46 37 74 43 34 34 34
PoianaMaggiore VI 177 45.29055556 11.50138889 0 0 0 0 0 0 0 4 4 4 4 0 0 0
Posina VI 178 45.79222222 11.26194444 240 246 211 896 900 205 205 139 209 143 219 145 145 157
PovedelGrappa VI 179 45.80166667 11.72888889 95 79 79 79 121 92 94 110 99 95 100 66 66 61
Pozzoleone VI 180 45.64972222 11.68 0 0 0 0 0 0 0 0 0 0 4 4 4 4
QuintoVicentino VI 181 45.57416667 11.62611111 0 3 0 3 3 13 13 14 17 48 47 53 53 53
RecoaroTerme VI 182 45.70638889 11.225 2016 1844 1844 2294 1961 1664 1637 1641 1644 2114 1568 1529 1664 1593
Roana VI 183 45.86555556 11.47416667 1845 1845 1891 5691 5688 5027 5012 5032 5020 6468 3723 3515 3755 5079
Romanod'Ezzelino VI 184 45.78 11.77083333 63 63 63 63 101 97 97 94 103 154 104 110 110 110
Rosà VI 185 45.72444444 11.76472222 38 38 38 38 38 38 52 52 52 44 58 61 61 53
RossanoVeneto VI 186 45.70694444 11.80333333 0 0 0 0 0 0 0 0 0 10 10 10 61 61
Rotzo VI 187 45.86583333 11.40138889 0 0 0 460 460 460 460 460 460 466 33 31 56 108
Salcedo VI 188 45.76027778 11.565 0 0 0 0 4 4 4 4 4 4 11 11 0 0
Sandrigo VI 189 45.66166667 11.60361111 153 152 152 205 205 206 206 212 212 218 218 223 228 231
SanGermanodeiBerici VI 190 45.40222222 11.47666667 0 4 4 4 4 19 31 44 39 33 45 33 32 14
SanNazario VI 191 45.84194444 11.69 21 21 21 21 33 33 37 32 37 26 53 55 108 100
SanPietroMussolino VI 192 45.58861111 11.25777778 25 25 25 25 25 25 25 25 25 26 26 26 26 26
Santorso VI 193 45.73916667 11.39027778 25 25 25 25 25 25 25 25 25 126 126 126 126 131
SanVitodiLeguzzano VI 194 45.68333333 11.37638889 20 20 20 20 20 20 20 36 20 36 36 36 36 36
Sarcedo VI 195 45.70944444 11.52722222 12 0 11 11 11 18 18 18 18 18 24 24 24 24
Sarego VI 196 45.40777778 11.4075 0 5 5 5 5 13 13 13 13 27 27 29 22 22
Schiavon VI 197 45.69861111 11.64472222 75 75 75 75 75 75 75 75 75 75 145 145 112 159
Schio VI 198 45.71527778 11.36166667 534 498 622 622 622 774 760 772 765 784 815 812 1013 1038
Solagna VI 199 45.81527778 11.72138889 62 62 62 62 62 52 52 58 52 150 199 193 189 187
Sossano VI 200 45.35888889 11.50972222 45 45 45 45 45 45 45 45 45 38 38 38 38 38
Sovizzo VI 201 45.52944444 11.4475 0 0 0 0 0 18 18 23 18 23 29 32 32 32
TezzesulBrenta VI 202 45.685 11.70361111 117 123 123 131 143 150 135 141 139 132 147 132 132 164
Thiene VI 203 45.70888889 11.47805556 190 196 191 191 195 217 220 225 225 293 227 172 172 172
TonezzadelCimone VI 204 45.85833333 11.34611111 1121 955 959 4115 4194 1213 1230 1128 1230 2097 2243 1988 2024 1997
Torrebelvicino VI 205 45.71888889 11.31138889 42 42 42 42 42 32 32 39 39 8 30 23 29 35
TorridiQuartesolo VI 206 45.52138889 11.61694444 0 0 7 219 219 220 230 234 233 256 259 250 250 250
Trissino VI 207 45.56888889 11.36972222 92 92 92 96 92 104 104 104 104 56 120 120 120 124
Valdagno VI 208 45.64722222 11.3 148 148 148 151 151 160 119 117 122 75 86 75 75 77
Valdastico VI 209 45.88583333 11.36361111 14 14 14 14 14 23 14 14 14 14 14 14 14 14
VallidelPasubio VI 210 45.74111111 11.26111111 340 282 256 274 294 220 220 231 231 218 234 220 220 220
Valstagna VI 211 45.86166667 11.65666667 0 0 0 0 6 12 12 12 12 114 17 12 6 6
Velod'Astico VI 212 45.78972222 11.36666667 166 122 122 122 122 124 124 36 124 36 124 46 38 38
Vicenza VI 213 45.54972222 11.54861111 2147 2577 2753 3053 3088 3166 3107 2860 3158 3219 3458 3422 3503 3475
Villaga VI 214 45.40388889 11.53361111 0 18 26 26 26 34 34 38 38 83 83 90 72 72
Villaverla VI 215 45.65194444 11.49166667 0 35 35 50 50 50 50 50 50 70 70 85 85 105
Zanè VI 216 45.72305556 11.45805556 0 0 0 0 0 0 0 0 0 0 108 108 108 108
Zermeghedo VI 217 45.47694444 11.37 0 0 0 4 4 0 0 4 4 4 6 0 0 0
Zovencedo VI 218 45.42944444 11.50305556 0 0 0 8 8 8 8 0 8 10 16 23 23 23
Zugliano VI 219 45.73583333 11.52111111 16 16 26 26 26 38 38 38 38 16 38 42 42 42
Agordo BL 220 46.282500 12.034167 182 182 182 719 715 676 660 708 694 426 457 431 441 489
AlanodiPiave BL 221 45.909444 11.910278 91 91 91 221 222 222 101 105 105 230 124 115 115 171
Alleghe BL 222 46.408611 12.019722 1025 1054 1056 2011 2386 2320 1980 1280 1991 2053 2107 2089 2088 2197
Arsiè BL 223 45.983333 11.756667 607 607 607 715 718 662 861 698 870 765 711 681 770 847
AuronzodiCadore BL 224 46.554167 12.437778 3208 3207 3201 6941 6951 7013 3937 4153 3994 7348 5753 5702 5833 6569
Belluno BL 225 46.141389 12.214444 1853 1829 1862 2586 2542 1947 1881 1937 1925 2002 1839 1748 1815 1795
BorcadiCadore BL 226 46.438611 12.219444 2692 2696 2703 3764 3764 3764 3146 3146 3146 1177 1166 1165 1188 1361
CalalzodiCadore BL 227 46.450278 12.380556 513 572 572 1331 1391 1375 1249 739 1271 1065 1092 1017 1024 1256
Castellavazzo BL 228 46.287778 12.308611 0 0 0 0 5 0 0 10 10 9 9 0 0 0
CencenigheAgordino BL 229 46.355278 11.968056 63 63 63 500 342 311 164 54 171 261 269 267 277 293
Cesiomaggiore BL 230 46.089167 11.990000 97 97 105 199 200 174 125 169 160 275 184 148 148 191
Chiesd'Alpago BL 231 46.173333 12.387500 0 20 15 901 919 901 24 30 37 892 52 41 41 934
CibianadiCadore BL 232 46.390556 12.285833 39 39 39 137 137 122 127 153 127 89 111 111 117 135
ColleSantaLucia BL 233 46.447778 12.015278 216 216 216 416 412 252 354 340 359 273 329 305 307 313
ComelicoSuperiore BL 234 46.594167 12.513333 538 570 570 2697 2704 2678 482 548 499 2709 1648 1526 1616 1988
Cortinad'Ampezzo BL 235 46.538889 12.136944 9309 9313 9312 17969 18108 18122 16894 9814 16908 16181 10433 9839 9889 17386
DantadiCadore BL 236 46.569444 12.520833 60 60 60 400 400 400 60 60 64 376 137 125 125 169
DomeggediCadore BL 237 46.463333 12.416111 1311 1305 1305 2047 1954 1954 1396 896 1402 1227 1229 1200 1237 1387
Falcade BL 238 46.356111 11.859722 2133 2211 2217 6214 6716 7040 6685 6168 6691 5082 5085 5066 5168 5683
Farrad'Alpago BL 239 46.123333 12.357778 909 913 906 1969 2018 1832 910 774 918 1789 971 951 958 1901
Feltre BL 240 46.022778 11.906389 340 296 302 463 462 526 425 528 459 716 453 393 349 481
Fonzaso BL 241 46.022500 11.798889 87 87 87 92 92 92 20 44 26 73 59 28 28 42
Canaled'Agordo BL 242 46.360556 11.915833 689 692 692 1931 1931 2359 1739 1131 1739 1979 1820 1828 1848 1943
FornodiZoldo BL 243 46.346389 12.176111 931 931 931 2585 2641 1214 1160 1183 1178 2880 1804 1743 1792 2087
Gosaldo BL 244 46.222778 11.954167 251 251 227 458 458 458 178 221 186 275 379 348 408 362
Lamon BL 245 46.050833 11.748056 92 70 70 1101 1089 972 61 69 63 1075 187 156 156 450
LaValleAgordina BL 246 46.283056 12.067500 31 31 31 111 105 105 71 77 71 139 88 78 78 124
Lentiai BL 247 46.046667 12.021111 161 161 155 231 270 193 183 218 190 237 95 95 95 192
Limana BL 248 46.100000 12.183611 36 36 48 59 59 72 72 92 84 82 103 79 79 79
LivinallongodelColdiLana BL 249 46.483056 11.955556 1740 1743 1845 2049 2190 2186 2431 2550 2455 2677 3063 2869 2925 2931
Longarone BL 250 46.270833 12.301111 169 214 214 234 234 225 197 203 203 211 222 203 203 208
LorenzagodiCadore BL 251 46.481389 12.458333 385 385 385 1075 1083 1083 732 283 732 453 465 438 479 682
LozzodiCadore BL 252 46.486389 12.440833 89 84 106 384 384 345 250 259 250 211 233 201 194 257
Mel BL 253 46.061667 12.080278 125 125 117 192 246 175 130 184 170 155 204 154 149 149
OspitalediCadore BL 254 46.332778 12.323611 11 11 11 11 0 0 12 12 12 12 0 0 0 6
Pedavena BL 255 46.045833 11.880833 243 219 219 333 338 351 225 112 244 224 173 142 188 275
PerarolodiCadore BL 256 46.398333 12.356667 0 0 0 59 0 0 0 4 0 12 55 39 39 42
Pieved'Alpago BL 257 46.168611 12.352222 227 227 239 1324 1337 1312 202 127 214 1178 161 143 150 1234
PievediCadore BL 258 46.432778 12.374722 892 983 995 2399 2399 2399 969 979 993 1507 1366 1225 1243 1280
PontenelleAlpi BL 259 46.175278 12.302222 474 474 474 808 812 499 164 186 179 172 205 186 199 199
Puosd'Alpago BL 260 46.144167 12.363056 97 97 97 174 178 174 96 96 96 72 72 72 72 153
Quero BL 261 45.922500 11.932222 0 0 0 14 14 14 0 0 0 30 16 24 24 24
RivamonteAgordino BL 262 46.258889 12.026944 16 16 16 106 129 129 39 39 39 107 101 113 111 119
