Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
Posina 178 925 931 896 896 900 894 209 139 209 143 219 153 153 165
PovedelGrappa 179 95 79 79 79 121 106 99 110 99 95 100 89 89 84
Pozzoleone 180 0 0 0 0 0 0 0 0 0 0 4 4 4 4
QuintoVicentino 181 0 3 0 3 3 13 17 14 17 48 47 57 57 57
RecoaroTerme 182 2466 2294 2294 2294 1961 1895 1644 1641 1644 2114 1568 1543 1678 1607
Roana 183 5438 5438 5642 5691 5688 5647 5020 5032 5020 6468 3723 3548 3792 5127
Romanod'Ezzelino 184 63 63 63 63 101 103 103 94 103 154 104 124 124 124
Rosà 185 38 38 38 38 38 38 52 52 52 44 58 71 71 65
RossanoVeneto 186 0 0 0 0 0 0 0 0 0 10 10 10 61 61
Rotzo 187 460 460 460 460 460 460 460 460 460 466 33 37 62 114
Salcedo 188 0 0 0 0 4 4 4 4 4 4 11 11 0 0
Sandrigo 189 153 152 152 205 205 212 212 212 212 218 218 229 234 237
SanGermanodeiBerici 190 0 4 4 4 4 27 39 44 39 33 45 52 51 39
SanNazario 191 21 21 21 21 33 33 37 32 37 26 53 61 114 102
SanPietroMussolino 192 25 25 25 25 25 25 25 25 25 26 26 26 26 26
Santorso 193 25 25 25 25 25 27 25 25 25 126 126 126 126 131
SanVitodiLeguzzano 194 20 20 20 20 20 20 20 36 20 36 36 36 36 36
Sarcedo 195 12 0 11 11 11 18 18 18 18 18 24 24 24 24
Sarego 196 0 5 5 5 5 13 13 13 13 27 27 39 32 28
Schiavon 197 75 75 75 75 75 75 75 75 75 75 145 145 112 159
Schio 198 534 498 622 622 622 779 765 772 765 784 815 828 1029 1054
Solagna 199 62 62 62 62 62 59 52 58 52 150 199 199 195 193
Sossano 200 45 45 45 45 45 45 45 45 45 38 38 38 38 38
Sovizzo 201 0 0 0 0 0 18 18 23 18 23 29 37 37 37
TezzesulBrenta 202 117 123 123 131 143 154 139 141 139 132 147 134 141 173
Thiene 203 190 196 191 191 195 217 225 225 225 293 227 180 186 191
TonezzadelCimone 204 4085 3919 3923 4115 4194 4279 1230 1128 1230 2097 2243 1988 2024 1997
Torrebelvicino 205 42 42 42 42 42 32 39 39 39 8 30 23 29 35
TorridiQuartesolo 206 0 0 7 219 219 223 233 234 233 256 259 261 261 261
Trissino 207 92 92 92 96 92 104 104 104 104 56 120 120 125 133
Valdagno 208 148 148 148 151 151 163 122 117 122 75 86 89 89 91
Valdastico 209 14 14 14 14 14 23 14 14 14 14 14 14 14 14
VallidelPasubio 210 340 282 256 274 294 231 231 231 231 218 234 231 236 236
Valstagna 211 0 0 0 0 6 12 12 12 12 114 17 17 15 21
Velod'Astico 212 166 122 122 122 122 124 124 36 124 36 124 46 38 38
Vicenza 213 2190 2620 2796 3053 3088 3209 3158 2860 3158 3219 3458 3600 3723 3726
Villaga 214 0 18 26 26 26 38 38 38 38 83 83 94 78 78
Villaverla 215 15 50 50 50 50 50 50 50 50 70 70 85 85 105
Zanè 216 0 0 0 0 0 0 0 0 0 0 108 108 108 108
Zermeghedo 217 0 0 0 4 4 4 4 4 4 4 6 6 6 6
Zovencedo 218 8 8 8 8 8 8 8 0 8 10 16 28 28 28
Zugliano 219 16 16 26 26 26 38 38 38 38 16 38 44 44 42
Agordo 220 710 710 710 719 715 692 694 708 694 426 457 459 469 517
AlanodiPiave 221 197 197 197 221 222 222 105 105 105 230 124 124 124 180
Alleghe 222 1966 1995 1997 2011 2386 2337 1991 1280 1991 2053 2107 2108 2112 2208
Arsiè 223 715 715 715 715 718 665 870 698 870 765 711 717 813 874
AuronzodiCadore 224 6458 6457 6451 6941 6951 7013 3994 4153 3994 7348 5753 5757 5904 6632
Belluno 225 2327 2303 2336 2586 2542 2533 1925 1937 1925 2002 1839 1830 1912 1886
BorcadiCadore 226 3190 3744 3751 3764 3764 3764 3146 3146 3146 1177 1166 1165 1188 1361
CalalzodiCadore 227 1272 1331 1331 1331 1391 1375 1271 739 1271 1065 1092 1067 1074 1306
Castellavazzo 228 0 0 0 0 5 10 10 10 10 9 9 9 9 9
CencenigheAgordino 229 500 500 500 500 342 311 171 54 171 261 269 279 297 324
Cesiomaggiore 230 192 192 200 199 200 205 160 169 160 275 184 193 210 253
Chiesd'Alpago 231 886 906 901 901 919 937 37 30 37 892 52 52 52 945
CibianadiCadore 232 137 137 137 137 137 122 127 153 127 89 111 111 117 135
ColleSantaLucia 233 392 392 392 416 412 257 359 340 359 273 329 305 307 313
ComelicoSuperiore 234 2690 2722 2722 2697 2704 2678 499 548 499 2709 1648 1551 1641 2013
Cortinad'Ampezzo 235 16827 16827 16826 17969 18108 18122 16908 9814 16908 16181 10433 9902 9951 17450
DantadiCadore 236 400 400 400 400 400 400 64 60 64 376 137 137 137 181
DomeggediCadore 237 2053 2047 2047 2047 1954 1954 1402 896 1402 1227 1229 1203 1240 1387
Falcade 238 6108 6202 6208 6214 6716 7284 6691 6168 6691 5082 5085 5082 5188 5689
Farrad'Alpago 239 1834 1838 1831 1969 2018 2018 918 774 918 1789 971 981 982 1929
Feltre 240 479 435 441 463 462 561 459 528 459 716 453 484 446 590
Fonzaso 241 101 101 101 92 92 102 26 44 26 73 59 54 58 72
Canaled'Agordo 242 1928 1931 1931 1931 1931 2379 1739 1131 1739 1979 1820 1833 1858 1953
FornodiZoldo 243 2589 2589 2589 2585 2641 2872 1178 1183 1178 2880 1804 1777 1830 2133
Gosaldo 244 482 482 458 458 458 458 186 221 186 275 379 383 443 397
Lamon 245 1122 1100 1100 1101 1089 1120 63 69 63 1075 187 177 177 469
LaValleAgordina 246 111 111 111 111 105 105 71 77 71 139 88 88 88 124
Lentiai 247 220 220 214 231 270 271 190 218 190 237 95 95 95 192
Limana 248 36 36 48 59 59 90 84 92 84 82 103 109 115 115
LivinallongodelColdiLana 249 1930 1933 2035 2049 2190 2297 2455 2550 2455 2677 3063 2872 2928 2934
Longarone 250 173 218 218 234 234 229 203 203 203 211 222 222 222 227
LorenzagodiCadore 251 1075 1075 1075 1075 1083 1083 732 283 732 453 465 447 484 687
LozzodiCadore 252 384 379 401 384 384 345 250 259 250 211 233 217 209 272
Mel 253 161 161 153 192 246 246 170 184 170 155 204 196 200 202
